"so2","no2","co","o3","pm25"
"10","43","1","55","101"
"12","53","1","52","54"
"13","25","1","15","12"
"8","21","1","23","8"
"11","39","1","25","36"
"17","59","2","68","93"
"18","59","1","56","35"
"12","68","1","30","57"
"17","77","1","33","54"
"4","24","1","72","11"
"10","43","1","55","101"
"12","53","1","52","54"
"13","25","1","15","12"
"8","21","1","23","8"
"11","39","1","25","36"
"17","59","2","68","93"
"18","59","1","56","35"
"12","68","1","30","57"
"17","77","1","33","54"
"4","24","1","72","11"
"10","43","1","55","101"
"12","53","1","52","54"
"13","25","1","15","12"
"8","21","1","23","8"
"11","39","1","25","36"
"17","59","2","68","93"
"18","59","1","56","35"
"12","68","1","30","57"
"17","77","1","33","54"
"4","24","1","72","11"
"14","41","2","94","116"
"12","57","1","61","56"
"13","25","1","15","12"
"8","21","1","23","8"
"11","39","1","25","36"
"17","59","2","68","93"
"21","41","1","95","36"
"14","71","1","52","51"
"16","54","1","106","46"
"4","24","1","72","11"
"15","40","2","125","117"
"15","40","2","125","117"
"11","52","1","81","57"
"9","23","1","63","15"
"15","40","2","125","117"
"11","52","1","81","57"
"15","40","2","125","117"
"11","52","1","81","57"
"9","23","1","63","15"
"11","52","1","81","57"
"9","23","1","63","15"
"9","23","1","63","15"
"15","40","2","125","117"
"11","52","1","81","57"
"9","23","1","63","15"
"15","40","2","125","117"
"11","52","1","81","57"
"9","23","1","63","15"
"15","40","2","125","117"
"11","52","1","81","57"
"9","23","1","63","15"
"15","40","2","125","117"
"11","52","1","81","57"
"9","23","1","63","15"
"8","18","1","40","10"
"7","37","1","48","34"
"13","38","1","182","87"
"19","38","1","112","37"
"14","63","1","68","51"
"15","47","1","148","47"
"5","28","1","93","17"
"15","40","2","125","117"
"11","52","1","81","57"
"9","23","1","63","15"
"8","18","1","40","10"
"15","40","2","125","117"
"7","37","1","48","34"
"11","52","1","81","57"
"13","38","1","182","87"
"19","38","1","112","37"
"14","63","1","68","51"
"15","47","1","148","47"
"5","28","1","93","17"
"9","23","1","63","15"
"8","18","1","40","10"
"7","37","1","48","34"
"13","38","1","182","87"
"19","38","1","112","37"
"14","63","1","68","51"
"15","47","1","148","47"
"5","28","1","93","17"
"12","41","2","146","123"
"10","37","1","116","58"
"10","22","1","96","15"
"8","17","1","49","10"
"7","32","1","67","33"
"12","29","1","222","78"
"17","27","1","134","37"
"14","59","1","86","49"
"14","35","1","186","44"
"5","24","1","117","21"
"12","41","2","146","123"
"10","37","1","116","58"
"10","22","1","96","15"
"8","17","1","49","10"
"7","32","1","67","33"
"12","29","1","222","78"
"17","27","1","134","37"
"14","59","1","86","49"
"14","35","1","186","44"
"5","24","1","117","21"
"10","43","1","148","124"
"10","28","1","140","54"
"9","20","1","115","15"
"10","18","1","52","10"
"7","27","1","94","29"
"9","22","1","238","67"
"14","21","1","155","34"
"16","52","1","104","50"
"12","23","1","214","40"
"5","22","1","139","29"
"10","43","1","148","124"
"10","28","1","140","54"
"9","20","1","115","15"
"10","18","1","52","10"
"7","27","1","94","29"
"9","22","1","238","67"
"14","21","1","155","34"
"16","52","1","104","50"
"12","23","1","214","40"
"5","22","1","139","29"
"10","45","1","168","130"
"9","50","1","158","48"
"8","19","0","116","14"
"8","14","0","51","10"
"6","21","1","120","24"
"7","19","1","243","64"
"12","19","1","163","35"
"12","31","1","135","47"
"11","18","1","214","36"
"4","21","1","158","35"
"10","45","1","168","130"
"9","50","1","158","48"
"8","19","0","116","14"
"8","14","0","51","10"
"6","21","1","120","24"
"7","19","1","243","64"
"12","19","1","163","35"
"12","36","2","236","128"
"8","28","1","154","46"
"8","19","1","115","14"
"8","17","1","50","10"
"6","21","1","120","24"
"7","19","1","243","64"
"12","29","1","160","40"
"9","31","1","140","35"
"11","18","1","214","36"
"4","21","1","158","35"
"12","36","2","236","128"
"8","28","1","154","46"
"8","19","1","115","14"
"8","17","1","50","10"
"7","17","1","127","21"
"21","20","1","241","63"
"12","29","1","160","40"
"9","31","1","140","35"
"9","18","1","211","34"
"4","23","1","169","38"
"11","34","1","261","117"
"8","28","1","146","43"
"8","21","1","118","14"
"8","18","1","48","10"
"7","17","1","127","21"
"4","21","1","232","58"
"10","39","1","135","47"
"9","31","1","140","35"
"9","18","1","211","34"
"4","23","1","169","38"
"11","34","1","261","117"
"8","28","1","146","43"
"8","21","1","118","14"
"8","18","1","48","10"
"6","20","1","114","23"
"4","21","1","232","58"
"10","39","1","135","47"
"10","35","1","142","39"
"9","19","1","212","35"
"4","20","1","184","39"
"11","32","1","284","116"
"8","30","1","141","37"
"10","29","1","112","15"
"8","20","1","50","11"
"6","22","1","106","19"
"5","23","1","239","58"
"10","39","1","135","47"
"10","35","1","142","39"
"9","19","1","180","35"
"4","20","1","184","39"
"11","32","1","284","116"
"8","30","1","141","37"
"10","29","1","112","15"
"8","20","1","50","11"
"6","22","1","106","19"
"5","23","1","239","58"
"9","49","1","112","51"
"9","32","1","140","45"
"9","19","1","180","35"
"4","23","1","188","40"
"10","29","1","294","105"
"7","30","1","140","32"
"10","41","1","77","16"
"8","23","1","38","12"
"7","28","1","96","20"
"5","28","1","238","56"
"8","61","1","93","52"
"9","32","1","140","45"
"8","25","1","156","31"
"4","23","1","188","40"
"10","29","1","294","105"
"7","30","1","140","32"
"10","41","1","77","16"
"8","23","1","38","12"
"7","28","1","96","20"
"5","28","1","238","56"
"8","61","1","93","52"
"8","41","1","129","46"
"8","25","1","156","31"
"4","33","1","174","42"
"8","36","1","272","102"
"7","28","1","137","35"
"10","41","1","77","16"
"9","27","1","34","12"
"7","30","1","90","20"
"5","29","1","252","65"
"8","62","1","82","51"
"7","44","1","123","49"
"9","30","1","130","29"
"4","33","1","174","42"
"8","36","1","272","102"
"7","28","1","137","35"
"9","48","1","55","17"
"9","27","1","34","12"
"7","30","1","90","20"
"5","29","1","252","65"
"8","62","1","82","51"
"7","44","1","123","49"
"9","30","1","130","29"
"4","39","1","154","44"
"6","47","1","234","97"
"6","30","1","128","36"
"9","48","1","55","17"
"9","32","1","25","11"
"7","29","1","76","20"
"5","31","1","254","79"
"8","77","1","67","53"
"7","51","1","107","52"
"9","30","1","130","29"
"4","39","1","154","44"
"6","47","1","234","97"
"6","30","1","128","36"
"9","49","1","36","16"
"9","32","1","25","11"
"7","29","1","76","20"
"5","31","1","254","79"
"8","77","1","67","53"
"7","51","1","107","52"
"8","39","1","104","27"
"4","37","1","123","38"
"5","51","1","195","103"
"6","25","1","120","27"
"9","49","1","36","16"
"9","32","1","25","11"
"6","29","1","63","19"
"6","30","1","231","99"
"8","78","1","56","51"
"9","52","1","90","58"
"8","39","1","104","27"
"4","37","1","123","38"
"5","51","1","195","103"
"6","25","1","120","27"
"10","50","1","22","16"
"9","34","1","21","9"
"6","29","1","63","19"
"6","30","1","231","99"
"8","78","1","56","51"
"9","52","1","90","58"
"8","38","1","89","27"
"4","36","1","110","36"
"5","51","1","195","103"
"6","25","1","120","27"
"10","50","1","22","16"
"9","34","1","21","9"
"6","29","1","63","19"
"6","30","1","231","99"
"8","78","1","56","51"
"10","48","1","74","73"
"9","33","1","82","27"
"4","36","1","110","36"
"5","59","1","176","118"
"6","22","1","114","19"
"12","46","1","15","16"
"7","31","1","20","9"
"7","34","1","47","22"
"8","28","1","191","102"
"8","80","1","47","55"
"10","48","1","74","73"
"9","33","1","82","27"
"5","37","1","92","32"
"5","59","1","176","118"
"6","22","1","114","19"
"13","41","1","13","17"
"7","31","1","20","9"
"7","34","1","47","22"
"16","27","1","166","82"
"9","79","1","38","57"
"11","46","1","67","72"
"9","27","1","88","27"
"5","37","1","92","32"
"5","52","1","165","128"
"5","22","1","105","16"
"14","40","1","10","17"
"8","30","1","17","9"
"6","31","1","39","23"
"15","29","1","150","73"
"11","74","1","30","58"
"10","40","1","62","75"
"9","27","1","88","27"
"5","39","1","76","28"
"5","52","1","144","130"
"5","22","1","97","16"
"14","36","1","10","17"
"8","31","1","15","8"
"6","28","1","37","22"
"12","33","1","136","71"
"12","66","1","34","54"
"10","40","1","62","75"
"9","24","1","89","32"
"5","44","1","58","25"
"5","35","1","135","129"
"6","25","1","81","18"
"14","36","1","10","17"
"9","30","1","16","7"
"6","27","1","34","23"
"12","33","1","136","71"
"12","66","1","34","54"
"11","34","1","61","57"
"9","23","1","88","29"
"5","43","1","50","26"
"5","35","1","135","129"
"6","25","1","81","18"
"12","29","1","14","16"
"9","30","1","16","7"
"6","27","1","34","23"
"11","37","1","124","74"
"11","59","1","39","48"
"11","34","1","61","57"
"9","23","1","88","29"
"5","44","1","40","24"
"4","19","1","148","47"
"6","23","1","76","23"
"11","28","1","13","16"
"10","29","1","16","7"
"6","26","1","31","24"
"11","39","1","112","82"
"12","58","1","32","46"
"11","34","1","61","57"
"9","23","1","88","29"
"5","44","1","40","24"
"3","20","1","129","41"
"6","23","1","71","27"
"11","25","1","13","15"
"8","28","1","15","6"
"6","26","1","28","25"
"11","39","1","112","82"
"12","58","1","32","46"
"11","34","1","51","46"
"10","27","1","75","30"
"5","44","1","28","26"
"3","20","1","112","37"
"6","23","1","71","27"
"11","25","1","13","15"
"8","28","1","13","7"
"6","29","1","22","23"
"16","44","1","82","97"
"14","69","1","13","48"
"11","36","1","45","48"
"10","27","1","75","30"
"6","42","1","25","26"
"3","20","1","112","37"
"7","30","1","56","31"
"11","26","1","10","14"
"8","28","1","13","7"
"6","29","1","22","23"
"16","44","1","82","97"
"14","69","1","13","48"
"11","36","1","45","48"
"10","31","1","67","34"
"6","44","1","19","23"
"3","20","1","112","37"
"7","30","1","56","31"
"11","26","1","10","14"
"8","28","1","13","7"
"6","29","1","22","23"
"15","56","2","65","103"
"14","53","1","17","44"
"11","36","1","45","48"
"10","31","1","67","34"
"6","44","1","19","23"
"4","40","1","77","39"
"10","42","1","53","35"
"12","26","1","10","14"
"7","28","1","14","11"
"7","33","1","15","23"
"16","54","2","101","112"
"12","51","1","41","43"
"12","38","1","46","47"
"12","51","1","43","42"
"6","37","1","26","22"
"5","36","1","107","45"
"8","41","1","67","30"
"11","23","1","32","15"
"8","18","1","33","10"
"6","36","1","18","13"
"13","50","1","142","105"
"6","40","1","124","67"
"7","43","1","70","34"
"11","22","1","54","16"
"7","20","1","34","10"
"6","32","1","27","13"
"13","50","1","142","105"
"11","39","1","100","34"
"12","34","1","98","31"
"11","36","1","144","45"
"6","31","1","71","29"